"","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"62",11009.5477945374,2012.97374650408,173.529250914679,462.687263023726,700.673569348513,1995.01736763488,77.9350808155236,777.683642864159,253.704955405809,1045.51670640704,175.789743636,882.38567772083,54.4508420283372,617.051984057691,740.850376321903,421.009565990862,277.939355442474,262.640632837797,1162.21183476215,2477.19083446342,463.87587143308,3340.86417022947,701.576332280189
"63",11061.9947821419,2022.34059244953,173.610039678189,462.211757766506,705.22865349442,2000.27319130883,77.0038088008325,781.46826926195,253.31681999194,1077.63433536713,176.173855848741,882.7353239103,53.2650535979649,622.85093242252,746.683593887301,419.778897457397,277.118788417987,263.246301443807,1169.52810964933,2496.62799711536,464.976761842812,3222.73287409932,702.599322143438
"64",11114.1891890682,2031.6680639485,173.684978818747,461.717143057959,709.768192454892,2005.47644328328,76.1287755841031,785.242823469602,252.92066038852,1110.64617402332,176.550797421589,883.059667648585,52.1484025166179,628.669187971137,752.520209653678,418.54315751136,276.300108672624,263.846181202072,1176.77677095677,2516.04494652893,466.058443041723,3112.73947344459,703.592742510798
"65",11166.1799543934,2040.9651049466,173.755052932386,461.206363811641,714.294563604133,2010.63770405474,75.3077628187729,789.010738145995,252.518036485037,1144.57577062312,176.92145751246,883.36391517862,51.0982147113576,634.508875793218,758.362783480338,417.305093213764,275.485210545968,264.441736586771,1183.96064692142,2535.45029400816,467.123247418546,3010.34404694616,704.560283505051
"66",11218.0136135965,2050.24023142481,173.821191950391,460.682196040565,718.810004196369,2015.76703697865,74.5386205258215,792.775269278705,252.110415378779,1179.4470518746,177.286678069026,883.65299655227,50.1118843562251,640.372025380401,764.213745701911,416.067277542008,274.675872222493,265.034362627704,1191.08233578409,2554.85224156673,468.173383770818,2915.04504572741,705.505433750886
"67",11269.7344892111,2059.50156568356,173.884275254392,460.147258637648,723.316621825575,2020.8740289956,73.8192700465678,796.539509961714,251.699178221435,1215.28432412996,177.647257421075,883.931586706927,49.1868783819129,646.260578402212,770.075407309052,414.832122306974,273.873764542304,265.625390443236,1198.14422224652,2574.258615046,469.21094670768,2826.37645341166,706.431495533529
"68",11321.3848675376,2068.75686812371,173.945135489351,459.604024344547,727.81640411068,2025.96782837999,73.1477061563645,800.306403166063,251.285626562504,1252.1122735268,178.003953609009,884.204124996101,48.3207399701873,652.176395912939,775.949969381161,413.601890120256,273.080459164275,266.216092369113,1205.14849271182,2593.6768948176,470.237925362755,2743.90514303323,707.341598843755
"69",11373.005162473,2078.013566714,174.004562097382,459.054829966321,732.311227665337,2031.05717973656,72.5219984532527,804.078753579748,250.870988227817,1289.95596505152,178.357487468539,884.4748332914,47.5110911606464,658.121265032535,781.839531827905,412.378705483799,272.297436130803,266.807686713737,1212.09714940166,2613.11424425372,471.256211469478,2667.2284133792,708.238714393976
"70",11424.6340667719,2087.27878420083,174.063304579528,458.501885845106,736.802866370346,2036.15045631245,71.9402921127562,807.859238539666,250.456422745213,1328.84084049552,178.708545477725,884.747732692129,46.7556346702492,664.096905113991,787.746101456352,411.16456502494,271.526090849807,267.401342149026,1218.99202337834,2632.57753601745,472.267606814843,2595.97170285331,709.12566563145
"71",11476.3086949566,2096.55936381877,174.122075576683,457.947284852272,741.29299918009,2041.25569052612,71.4008080950116,811.650418360519,250.043026469215,1368.79271517067,179.057782445915,885.026659309471,46.0521550458074,670.104973568925,793.671599588754,409.961347163472,270.767740689417,267.998181859317,1225.83478683635,2652.07337690514,473.27383027976,2529.78641805283,710.005140084452
"72",11528.0647048228,2105.86189115283,174.181553488551,457.393010069399,745.783216751665,2046.38059992484,70.9018428941263,815.454745117292,249.631836937294,1409.83777374675,179.405823799228,885.315277684752,45.398519163457,676.14707081918,799.617868535661,408.770820329145,270.02363058385,268.599287069266,1232.62696354364,2671.60812897024,474.276523823496,2468.3480787855,710.879699006189
"73",11579.9364341184,2115.19271873265,174.242385419305,456.840943463402,750.275028893505,2051.53261638477,70.4417678456001,819.274572525128,249.223837769718,1452.00256403697,179.753268150813,885.617095882238,44.7926763258703,682.224745864866,805.586678873308,407.594652204699,269.294939338846,269.205701012709,1239.36994057688,2691.18793328598,475.277259214162,2411.35422109726,711.751788220685
